Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5
2021-01-15,127.139999,AAPL,-1.37305480186005,-1,0.016,-0.442,0.001,-0.459,-0.234
2021-01-19,127.830002,AAPL,0.542711188789613,1,-0.262,0.141,0.972,0.099,-0.691
2021-01-20,132.029999,AAPL,3.28561130743001,1,-0.242,0.173,-0.292,-0.314,-0.849
2021-01-21,136.869995,AAPL,3.66583052083489,1,-0.056,0.3,-0.173,-0.387,-0.691
2021-01-22,139.070007,AAPL,1.60737347875259,1,-0.047,0.059,-0.495,-0.115,0.547
2021-01-25,142.919998,AAPL,2.76838340850878,1,-0.125,-0.134,-0.052,-0.062,-0.612
2021-01-26,143.160004,AAPL,0.167930313013298,1,-0.166,0.489,0.176,-0.998,-0.165
2021-01-27,142.059998,AAPL,-0.768375223012696,-1,0.181,-0.294,0.033,-0.623,0.003
2021-01-28,137.089996,AAPL,-3.49852320848265,-1,-0.394,-0.405,-0.302,-0.715,0.142
2021-01-29,131.960007,AAPL,-3.7420593403475,-1,0.065,-0.578,-0.657,-0.529,0.319
2021-02-01,134.139999,AAPL,1.65200961227594,1,-0.447,-0.487,0.031,-0.688,-0.427
2021-02-02,134.990005,AAPL,0.633670796434105,1,-0.003,-0.225,-0.438,-0.369,-0.981
2021-02-03,133.940002,AAPL,-0.777837588790375,-1,-0.009,-0.405,-0.162,-0.318,-0.312
2021-02-04,137.389999,AAPL,2.57577792181904,1,-0.512,0.057,-0.743,-0.053,-0.408
2021-02-05,136.759995,AAPL,-0.458551571865129,-1,0.13,-0.324,-0.252,-0.295,-0.23
2021-02-08,136.910004,AAPL,0.109687778213208,1,-0.561,-0.712,0.203,-0.454,-0.496
2021-02-12,135.369995,AAPL,0.177599342203805,1,-0.701,-0.295,0.331,0.432,-0.072
2021-02-18,129.710007,AAPL,-0.863641879047461,-1,-0.362,-0.086,-0.872,-0.42,-0.719
2021-02-23,125.860001,AAPL,-0.111110317460317,-1,-0.188,-0.172,-0.265,-0.489,0.091
2021-02-24,125.349998,AAPL,-0.405214520854802,-1,-0.305,-0.583,-0.457,0.14,0.212
2021-02-25,120.989998,AAPL,-3.478260925062,-1,0.596,-0.106,-0.655,-0.414,-0.958
2021-02-26,121.260002,AAPL,0.223162248502562,1,-0.644,-0.32,-0.125,-0.035,-0.49
2021-03-03,122.059998,AAPL,-2.44565611143728,-1,-0.284,-0.242,-0.107,-0.555,-0.475
2021-03-04,120.129997,AAPL,-1.58119042407324,-1,0.015,0.226,-0.986,-0.603,-0.19
2021-03-05,121.419998,AAPL,1.07383753618175,1,-0.41,-0.108,-0.19,-0.816,-0.005
2021-03-08,116.360001,AAPL,-4.16735058750373,-1,-0.737,0.029,-0.161,0.253,0.189
2021-03-09,121.089996,AAPL,4.0649664483932,1,-0.322,-0.477,-0.716,0.016,1
2021-03-10,119.980003,AAPL,-0.916667798056581,-1,-0.349,-0.196,-0.239,0.992,-0.007
