Date,Close,Label,pct_change,direction,Top1,Top2
2021-04-30,131.460007,AAPL,-1.51332713555071,-1,-0.496,-0.416
2021-05-06,129.740005,AAPL,1.28024896423502,1,-0.957,-0.076
2021-01-06,2.01,AMC,1.51515151515151,1,0.498,-0.849
2021-01-11,2.2,AMC,2.80373831775702,1,-0.415,-0.5
2021-01-12,2.29,AMC,4.09090909090908,1,0.996,-0.916
2021-01-13,2.18,AMC,-4.80349344978165,-1,-0.339,-0.961
2021-01-14,2.18,AMC,0,0,-0.234,-1
2021-01-15,2.33,AMC,6.88073394495412,1,-0.665,-0.004
2021-01-19,3.06,AMC,31.3304721030043,1,0.663,0.894
2021-01-20,2.97,AMC,-2.94117647058824,-1,-0.039,0.011
2021-01-21,2.98,AMC,0.336700336700324,1,-0.769,0.677
2021-01-22,3.51,AMC,17.7852348993289,1,-0.977,-0.899
2021-01-25,4.42,AMC,25.9259259259259,1,-0.506,-0.722
2021-01-26,4.96,AMC,12.2171945701357,1,-0.626,-0.479
2021-01-27,19.9,AMC,301.209677419355,1,-0.987,0.312
2021-01-28,8.63,AMC,-56.6331658291457,-1,-0.729,-0.875
2021-01-29,13.26,AMC,53.6500579374276,1,-0.606,0.246
2021-02-01,13.3,AMC,0.301659125188536,1,-0.264,0.999
2021-02-02,7.82,AMC,-41.203007518797,-1,-0.282,0.001
2021-02-03,8.97,AMC,14.7058823529412,1,-0.714,-0.041
2021-02-04,7.09,AMC,-20.958751393534,-1,0.997,-0.797
2021-02-05,6.83,AMC,-3.66713681241184,-1,0.529,-0.969
2021-02-08,6.18,AMC,-9.51683748169839,-1,-0.302,-0.344
2021-02-09,5.5,AMC,-11.0032362459547,-1,-0.276,-0.472
2021-02-10,5.8,AMC,5.45454545454545,1,-0.344,-0.742
2021-02-11,5.61,AMC,-3.27586206896551,-1,0.032,0
2021-02-12,5.59,AMC,-0.356506238859189,-1,-0.695,-0.655
2021-02-16,5.65,AMC,1.07334525939178,1,-0.409,0.995
2021-02-17,5.55,AMC,-1.76991150442479,-1,-0.775,0.033
2021-02-18,5.51,AMC,-0.720720720720724,-1,-0.407,-0.272
2021-02-19,5.7,AMC,3.44827586206897,1,0.343,-0.907
2021-02-22,6.55,AMC,14.9122807017544,1,-0.77,-0.402
2021-02-23,7.7,AMC,17.5572519083969,1,0.983,0.027
2021-02-24,9.09,AMC,18.0519480519481,1,-0.186,0.498
2021-02-25,8.29,AMC,-8.80088008800881,-1,0.002,-0.988
2021-02-26,8.01,AMC,-3.37756332931242,-1,0.799,0.599
2021-03-01,9.18,AMC,14.6067415730337,1,-0.794,-0.061
2021-03-02,8.93,AMC,-2.72331154684096,-1,-1,-0.525
2021-03-03,8.58,AMC,-3.91937290033594,-1,-0.097,-0.293
2021-03-04,8.03,AMC,-6.41025641025642,-1,0.977,-0.074
2021-03-05,8.05,AMC,0.249066002490683,1,0.94,-0.833
2021-03-08,9.29,AMC,15.4037267080745,1,-0.991,-0.217
2021-03-09,10.5,AMC,13.0247578040904,1,-0.332,-0.272
2021-03-10,9.85,AMC,-6.19047619047619,-1,-0.824,0.008
2021-03-11,10.28,AMC,4.36548223350253,1,0.745,-0.57
2021-03-12,11.16,AMC,8.56031128404671,1,-0.148,-1
2021-03-15,14.04,AMC,25.8064516129032,1,-0.893,-0.623
2021-03-16,13.02,AMC,-7.26495726495726,-1,0.783,-0.975
2021-03-17,13.56,AMC,4.14746543778803,1,-0.006,-0.911
2021-03-18,14,AMC,3.24483775811208,1,-0.812,-0.27
2021-03-19,13.93,AMC,-0.5,-1,0.064,-0.989
2021-03-22,12.49,AMC,-10.3374012921752,-1,-0.414,-0.469
2021-03-23,10.66,AMC,-14.6517213771017,-1,-0.605,-0.63
2021-03-24,9.02,AMC,-15.3846153846154,-1,0.082,-0.208
2021-03-25,10.94,AMC,21.2860310421286,1,-0.994,0.081
2021-03-26,10.24,AMC,-6.39853747714807,-1,-0.55,0.575
2021-03-29,10.35,AMC,1.07421875,1,-0.01,-0.556
2021-03-30,10.35,AMC,0,0,-0.007,-0.012
2021-03-31,10.21,AMC,-1.3526570048309,-1,0.139,0.899
2021-04-01,9.36,AMC,-8.32517140058767,-1,-0.077,-0.33
2021-04-06,10.2,AMC,-3.86427898209236,-1,0.883,-0.009
2021-04-12,8.62,AMC,-8.49256900212315,-1,-0.708,-0.929
2021-04-13,8.84,AMC,2.55220417633411,1,0.498,0.4
2021-04-14,9.35,AMC,5.76923076923077,1,-0.535,-0.005
2021-04-15,9.9,AMC,5.88235294117647,1,-0.996,-0.26
2021-04-16,9.33,AMC,-5.75757575757576,-1,0.113,-0.072
2021-04-19,9.66,AMC,3.53697749196142,1,-0.537,-0.299
2021-04-21,9.78,AMC,5.38793103448276,1,-0.304,-0.99
2021-04-22,9.99,AMC,2.14723926380369,1,-0.343,0.46
2021-04-23,10.16,AMC,1.7017017017017,1,0.761,-0.642
2021-04-27,11.46,AMC,-0.347826086956515,-1,-0.739,-0.806
2021-04-28,10.85,AMC,-5.32286212914486,-1,-0.499,0.208
2021-04-29,10.2,AMC,-5.99078341013826,-1,0.964,-0.123
2021-05-05,9.17,AMC,-2.34291799787009,-1,0.606,-0.104
2021-05-06,9,AMC,-1.85387131952017,-1,-0.989,-0.378
2021-01-05,6.77,BB,2.88753799392096,1,-0.115,-0.981
2021-01-06,6.71,BB,-0.886262924667647,-1,-0.522,-0.475
2021-01-07,7.06,BB,5.21609538002981,1,-0.187,-0.5
2021-01-08,7.56,BB,7.08215297450425,1,-0.491,-0.999
2021-01-11,7.65,BB,1.19047619047621,1,0.238,-0.264
2021-01-12,7.63,BB,-0.261437908496742,-1,0.325,0.048
2021-01-13,7.44,BB,-2.49017038007863,-1,-0.474,0.032
2021-01-14,9.11,BB,22.4462365591398,1,-0.015,0.115
2021-01-15,9.84,BB,8.01317233809002,1,-0.598,-0.983
2021-01-19,12.35,BB,25.5081300813008,1,-0.056,-0.262
2021-01-20,12.79,BB,3.56275303643725,1,0.021,-0.726
2021-01-21,12.85,BB,0.469116497263489,1,0.139,0.994
2021-01-22,14.04,BB,9.26070038910505,1,-0.391,0.027
2021-01-25,18.030001,BB,28.4188105413105,1,0.091,-0.714
2021-01-26,18.92,BB,4.93621159532938,1,-0.405,-0.494
2021-01-27,25.1,BB,32.6638477801269,1,-0.999,-0.17
2021-01-28,14.65,BB,-41.6334661354582,-1,-0.599,-0.288
2021-01-29,14.1,BB,-3.7542662116041,-1,-0.403,-0.328
2021-02-01,14.63,BB,3.75886524822695,1,-0.206,-0.313
2021-02-02,11.55,BB,-21.0526315789474,-1,-0.282,-0.764
2021-02-03,12,BB,3.89610389610389,1,-0.714,-0.451
2021-02-04,12.15,BB,1.25,1,-0.26,-0.299
2021-02-05,13.23,BB,8.88888888888888,1,-0.508,-0.184
2021-02-08,13.76,BB,4.00604686318971,1,-0.57,-0.302
2021-02-09,13.43,BB,-2.39825581395349,-1,-0.276,-0.097
2021-02-10,13.1,BB,-2.45718540580789,-1,-0.614,-0.572
2021-02-11,12.46,BB,-4.8854961832061,-1,0.032,-0.334
2021-02-12,13.04,BB,4.6548956661316,1,-0.655,-0.346
2021-02-16,12.21,BB,-6.36503067484662,-1,-0.556,0.057
2021-02-17,11.32,BB,-7.28910728910729,-1,0.033,-0.726
2021-02-18,10.94,BB,-3.35689045936396,-1,-0.064,-0.352
2021-02-19,10.9,BB,-0.365630712979881,-1,0.878,0.285
2021-02-22,10.68,BB,-2.01834862385322,-1,-0.489,-0.131
2021-02-23,10.4,BB,-2.62172284644194,-1,-0.958,-0.265
2021-02-24,11.32,BB,8.84615384615384,1,-0.883,-0.554
2021-02-25,10.58,BB,-6.53710247349824,-1,-0.53,-0.256
2021-02-26,10.05,BB,-5.0094517958412,-1,-0.511,-0.589
2021-03-01,10.91,BB,8.55721393034825,1,-0.431,-0.465
2021-03-02,10.5,BB,-3.75802016498625,-1,-0.432,-0.351
2021-03-03,10.15,BB,-3.33333333333333,-1,-0.238,-0.284
2021-03-04,9.84,BB,-3.05418719211823,-1,-0.261,-0.817
2021-03-05,9.45,BB,-3.96341463414634,-1,0.209,-0.41
2021-03-08,9.75,BB,3.17460317460319,1,-0.538,-0.553
2021-03-09,10.45,BB,7.17948717948718,1,-0.512,-0.472
2021-03-10,10.34,BB,-1.05263157894736,-1,-0.802,-0.744
2021-03-11,10.7,BB,3.48162475822049,1,-0.185,0.008
2021-03-12,11.85,BB,10.7476635514019,1,-0.25,-0.561
2021-03-15,11.68,BB,-1.43459915611814,-1,0.142,-0.227
2021-03-16,11.46,BB,-1.88356164383561,-1,-0.44,-0.689
2021-03-17,11.6,BB,1.22164048865618,1,-0.312,-0.081
2021-03-18,10.76,BB,-7.24137931034483,-1,-0.123,-0.856
2021-03-19,10.95,BB,1.76579925650557,1,-0.409,-0.531
2021-03-22,10.71,BB,-2.1917808219178,-1,-0.414,-0.637
2021-03-23,10.07,BB,-5.97572362278245,-1,-0.028,-0.605
2021-03-24,9.58,BB,-4.86593843098312,-1,-0.49,-0.029
2021-03-25,9.88,BB,3.13152400835073,1,-0.639,-0.554
2021-03-26,9.63,BB,-2.53036437246964,-1,0.935,-0.55
2021-03-29,9.2,BB,-4.46521287642785,-1,-0.377,0.15
2021-03-30,9.34,BB,1.52173913043478,1,-1,0.076
2021-03-31,8.43,BB,-9.74304068522485,-1,0.473,0.223
2021-04-01,8.6,BB,2.01660735468565,1,-0.047,-0.969
2021-04-05,9.3,BB,8.13953488372094,1,-0.149,-0.737
2021-04-06,8.99,BB,-3.33333333333334,-1,-0.181,-0.905
2021-04-07,8.91,BB,-0.889877641824255,-1,-0.286,-0.518
2021-04-08,9.44,BB,5.94837261503927,1,-0.136,-0.524
2021-04-09,9.13,BB,-3.28389830508473,-1,0.987,-0.729
2021-04-12,9.03,BB,-1.09529025191677,-1,-0.02,-0.504
2021-04-13,9.1,BB,0.775193798449614,1,-0.67,-0.313
2021-04-14,9,BB,-1.09890109890109,-1,-0.003,-0.005
2021-04-15,8.77,BB,-2.55555555555556,-1,-0.421,-0.684
2021-04-16,8.7,BB,-0.798175598631701,-1,-0.45,-0.504
2021-04-19,8.62,BB,-0.919540229885063,-1,-0.331,0.204
2021-04-20,8.21,BB,-4.75638051044082,-1,-0.326,-0.178
2021-04-21,8.66,BB,5.48112058465284,1,-0.315,-0.947
2021-04-22,8.64,BB,-0.230946882217087,-1,-0.343,-0.259
2021-04-23,8.85,BB,2.43055555555554,1,0.161,-0.3
2021-04-26,9.09,BB,2.71186440677966,1,0.42,-0.62
2021-04-27,9.29,BB,2.2002200220022,1,-0.781,-0.148
2021-04-28,9.3,BB,0.107642626480109,1,-0.494,0.208
2021-04-29,9.06,BB,-2.58064516129033,-1,0.088,-0.309
2021-04-30,8.83,BB,-2.53863134657837,-1,-0.432,-1
2021-05-05,8.22,BB,-1.67464114832534,-1,-0.256,1
2021-05-06,8.15,BB,-0.85158150851582,-1,-0.089,-0.335
2021-01-05,8.68,CLNE,10.8556832694764,1,-0.115,-0.553
2021-01-06,9,CLNE,3.68663594470047,1,-0.043,0.99
2021-01-07,11.1,CLNE,23.3333333333333,1,-0.627,-0.364
2021-01-08,10.25,CLNE,-7.65765765765766,-1,0,-0.085
2021-01-11,9.81,CLNE,-4.29268292682926,-1,0.315,-0.993
2021-01-12,9.92,CLNE,1.12130479102956,1,-0.254,-0.18
2021-01-13,10.41,CLNE,4.93951612903225,1,0.262,-0.877
2021-01-14,10.21,CLNE,-1.92122958693564,-1,0.099,0.847
2021-01-15,9.81,CLNE,-3.9177277179236,-1,0.001,0.103
2021-01-21,10.18,CLNE,-3.9622641509434,-1,-0.056,0.158
2021-01-22,10.57,CLNE,3.8310412573674,1,-0.125,0.248
2021-01-25,11.68,CLNE,10.5014191106906,1,0.419,0.661
2021-01-26,11.54,CLNE,-1.19863013698631,-1,-0.239,0.908
2021-01-27,11,CLNE,-4.6793760831889,-1,0.043,-0.998
2021-02-02,10.47,CLNE,-0.946073793755908,-1,0.393,0.394
2021-02-03,12.83,CLNE,22.5405921680993,1,-0.25,0.067
2021-02-09,18.639999,CLNE,4.30888616066669,1,-0.194,0.307
2021-02-11,16.73,CLNE,-1.23967525149495,-1,-0.653,0.054
2021-02-17,15.54,CLNE,-2.38693467336684,-1,0.311,-0.028
2021-02-18,14.05,CLNE,-9.58815958815958,-1,0.053,0.024
2021-02-24,13.82,CLNE,1.6924208977189,1,0.37,-0.46
2021-02-26,13.04,CLNE,1.47859922178988,1,-0.26,-0.128
2021-03-31,13.74,CLNE,4.01211203633611,1,-0.719,0.307
2021-04-01,14.52,CLNE,5.67685589519651,1,-0.103,-0.103
2021-04-05,13.5,CLNE,-7.02479338842975,-1,0,0.137
2021-04-12,11.18,CLNE,-9.03173311635476,-1,-0.009,-0.542
2021-04-14,11.85,CLNE,1.8041237113402,1,0.004,-0.249
2021-04-15,11.12,CLNE,-6.16033755274262,-1,-0.748,-0.869
2021-04-16,11.14,CLNE,0.179856115107935,1,-0.45,-0.31
2021-04-27,11.44,CLNE,2.23413762287756,1,0.16,0.5
2021-01-08,15.9,CLOV,-0.749063670411976,-1,-0.096,0.5
2021-01-12,14.62,CLOV,-2.40320427236316,-1,0.97,0.988
2021-01-25,13.93,CLOV,2.80442804428043,1,-0.015,-1
2021-01-26,15.76,CLOV,13.1371141421393,1,-0.051,0.692
2021-01-27,14.25,CLOV,-9.58121827411167,-1,-0.914,0.104
2021-02-03,13.95,CLOV,-0.143163922691492,-1,0.036,0.178
2021-02-04,12.23,CLOV,-12.3297491039426,-1,-0.758,-0.996
2021-02-05,12.93,CLOV,5.72363041700736,1,-0.197,-0.994
2021-03-15,8.875,CLOV,-0.39281705948373,-1,-0.725,-0.995
2021-04-19,9.67,CLOV,9.63718820861676,1,-0.537,0.001
2021-04-20,8.62,CLOV,-10.8583247156153,-1,-0.5,-0.343
2021-04-21,9.05,CLOV,4.98839907192576,1,-0.315,0.47
2021-04-27,9.24,CLOV,0.216919739696309,1,-0.949,-0.668
2021-04-28,10.5,CLOV,13.6363636363636,1,0,0.208
2021-04-29,10.17,CLOV,-3.14285714285715,-1,0.962,-1
2021-04-30,9.85,CLOV,-3.14650934119961,-1,-0.652,-0.006
2021-05-05,8.84,CLOV,-2.42825607064019,-1,0.116,1
2021-05-06,8.23,CLOV,-6.90045248868778,-1,-0.335,-0.536
2021-01-05,2.77,OCGN,-9.77198697068403,-1,-0.115,0.657
2021-01-06,2.61,OCGN,-5.77617328519856,-1,-0.239,-0.216
2021-01-07,2.8,OCGN,7.27969348659003,1,0.195,-0.637
2021-01-08,2.69,OCGN,-3.92857142857143,-1,-0.759,0.961
2021-01-11,2.49,OCGN,-7.43494423791821,-1,-0.804,-0.727
2021-01-12,2.23,OCGN,-10.4417670682731,-1,0.026,-0.458
2021-01-14,2.18,OCGN,-12.8,-1,-0.096,-0.272
2021-01-15,2.22,OCGN,1.83486238532111,1,0.001,0.037
2021-01-19,2.34,OCGN,5.40540540540539,1,0.836,0.928
2021-01-20,2.23,OCGN,-4.70085470085469,-1,0.021,0.282
2021-01-21,2.25,OCGN,0.896860986547088,1,-0.479,0.11
